freq,nrg_bal,siec,unit,geo\TIME_PERIOD	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 
A,FC_OTH_HH_E,E7000,GWH,AL	2997.450 	2936.634 	3065.799 	4066.970 	3500.001 	3240.375 	2990.930 	2934.535 	3146.976 	3120.242 	3469.079 	3504.652 
A,FC_OTH_HH_E,E7000,GWH,AT	17657.493 	17273.639 	17541.316 	17649.164 	16815.552 	17215.299 	17838.838 	17998.218 	17942.604 	18336.543 	18006.175 	20283.197 
A,FC_OTH_HH_E,E7000,GWH,BA	: 	: 	: 	: 	4604.000 	4725.000 	4734.000 	4755.000 	4685.000 	4725.999 	4795.000 	4912.000 
A,FC_OTH_HH_E,E7000,GWH,BE	: 	: 	: 	: 	: 	: 	18849.100 	18537.100 	18508.100 	18357.200 	18663.200 	19267.500 
A,FC_OTH_HH_E,E7000,GWH,BG	10559.000 	10912.000 	10838.000 	10537.000 	10590.000 	10644.000 	10733.000 	11137.538 	10963.025 	10843.892 	11356.181 	11953.294 
A,FC_OTH_HH_E,E7000,GWH,CY	: 	: 	: 	: 	: 	: 	: 	: 	1688.278 	1771.692 	1805.835 	1817.409 
A,FC_OTH_HH_E,E7000,GWH,CZ	: 	: 	: 	: 	: 	14382.000 	14935.000 	15211.299 	15049.536 	15256.834 	15972.500 	17260.001 
A,FC_OTH_HH_E,E7000,GWH,DE	141700.000 	136600.000 	137000.000 	136000.000 	129600.000 	128700.000 	128200.000 	130924.000 	127880.001 	126539.000 	127426.000 	138470.999 
A,FC_OTH_HH_E,E7000,GWH,DK	: 	: 	: 	: 	: 	10176.668 	10296.111 	9863.889 	9741.835 	10241.653 	10945.963 	10833.280 
A,FC_OTH_HH_E,E7000,GWH,EA20	: 	: 	: 	: 	: 	: 	: 	: 	571845.182 	569560.227 	574839.858 	603293.025 
A,FC_OTH_HH_E,E7000,GWH,EE	2023.289 	1934.277 	1956.280 	1865.267 	1739.248 	1728.246 	1913.272 	1940.278 	1860.137 	2069.997 	1998.000 	2229.000 
A,FC_OTH_HH_E,E7000,GWH,EL	: 	: 	: 	17446.111 	: 	17537.900 	19996.900 	19627.852 	16762.610 	17377.539 	17486.201 	17715.799 
