freq,siec,partner,unit,geo\TIME_PERIOD	2015 	2016 	2017 	2018 	2019 	2020 
A,O4000XBIO,AZ,PC,AL	0.00 s	0.00 s	0.00 s	2.30 s	1.18 s	3.50 s
A,O4000XBIO,AZ,PC,AT	6.93 s	4.91 s	8.03 s	6.24 s	6.21 s	3.90 s
A,O4000XBIO,AZ,PC,BA	1.23 s	0.94 s	5.42 s	6.06 s	10.59 s	16.12 s
A,O4000XBIO,AZ,PC,BE	0.30 s	0.21 s	0.12 s	0.14 s	0.12 s	0.13 s
A,O4000XBIO,AZ,PC,BG	0.92 s	0.31 s	0.63 s	1.56 s	1.24 s	0.50 s
A,O4000XBIO,AZ,PC,CY	1.73 s	0.65 s	0.89 s	1.76 s	1.91 s	3.32 s
A,O4000XBIO,AZ,PC,CZ	21.89 s	15.20 s	20.88 s	18.79 s	19.06 s	14.10 s
A,O4000XBIO,AZ,PC,DE	4.15 s	3.93 s	1.97 s	2.53 s	2.39 s	1.92 s
A,O4000XBIO,AZ,PC,DK	0.05 s	0.06 s	: z	0.07 s	0.10 s	0.04 s
A,O4000XBIO,AZ,PC,EE	0.36 s	0.02 s	0.00 s	0.00 s	0.00 s	0.00 s
A,O4000XBIO,AZ,PC,EL	1.20 s	0.21 s	0.68 s	0.22 s	1.93 s	4.31 s
A,O4000XBIO,AZ,PC,ES	1.84 s	2.60 s	2.03 s	2.26 s	2.19 s	3.14 s
A,O4000XBIO,AZ,PC,FI	0.02 s	0.03 s	0.01 s	0.01 s	0.02 s	0.02 s
A,O4000XBIO,AZ,PC,FR	4.00 s	3.59 s	1.96 s	1.50 s	1.90 s	1.10 s
A,O4000XBIO,AZ,PC,GE	20.01 s	21.01 s	15.84 s	13.73 s	13.64 s	22.44 s
A,O4000XBIO,AZ,PC,HR	19.34 s	14.68 s	12.79 s	13.56 s	18.54 s	34.85 s
A,O4000XBIO,AZ,PC,HU	1.19 s	0.65 s	1.27 s	1.15 s	1.03 s	2.49 s
A,O4000XBIO,AZ,PC,IE	0.99 s	1.92 s	0.13 s	0.18 s	0.14 s	0.06 s
A,O4000XBIO,AZ,PC,IS	0.03 s	0.01 s	0.03 s	0.09 s	0.05 s	0.02 s
A,O4000XBIO,AZ,PC,IT	13.48 s	10.92 s	13.95 s	13.81 s	13.10 s	14.19 s
A,O4000XBIO,AZ,PC,LI	: z	: z	3.97 s	: z	2.57 s	: z
A,O4000XBIO,AZ,PC,LT	0.79 s	0.01 s	0.00 s	0.00 s	0.00 s	0.00 s
A,O4000XBIO,AZ,PC,LU	0.88 s	0.90 s	0.54 s	0.61 s	0.58 s	0.40 s
A,O4000XBIO,AZ,PC,LV	0.29 s	0.01 s	0.01 s	0.01 s	0.01 s	0.01 s
A,O4000XBIO,AZ,PC,MD	1.16 s	1.55 s	4.12 s	3.51 s	1.85 s	2.11 s
A,O4000XBIO,AZ,PC,ME	4.39 s	3.19 s	3.18 s	3.17 s	5.31 s	12.68 s
A,O4000XBIO,AZ,PC,MK	1.14 s	0.32 s	0.55 s	0.50 s	1.81 s	2.68 s
A,O4000XBIO,AZ,PC,MT	4.29 s	4.89 s	2.86 s	3.75 s	1.74 s	4.00 s
A,O4000XBIO,AZ,PC,NL	0.43 s	0.43 s	0.35 s	0.41 s	0.42 s	0.34 s
A,O4000XBIO,AZ,PC,NO	: z	: z	: z	: z	: z	: z
A,O4000XBIO,AZ,PC,PL	0.24 s	0.58 s	0.38 s	0.23 s	0.23 s	0.17 s
A,O4000XBIO,AZ,PC,PT	7.11 s	9.16 s	10.42 s	10.24 s	8.00 s	5.60 s
A,O4000XBIO,AZ,PC,RO	1.96 s	2.46 s	5.80 s	5.01 s	2.39 s	3.21 s
A,O4000XBIO,AZ,PC,RS	0.83 s	0.73 s	0.67 s	0.35 s	0.41 s	0.36 s
A,O4000XBIO,AZ,PC,SE	0.08 s	0.13 s	0.09 s	0.04 s	0.03 s	0.04 s
A,O4000XBIO,AZ,PC,SI	8.07 s	5.46 s	7.03 s	6.31 s	5.79 s	5.89 s
A,O4000XBIO,AZ,PC,SK	1.81 s	1.23 s	2.22 s	1.67 s	1.83 s	1.21 s
A,O4000XBIO,AZ,PC,TR	0.58 s	0.29 s	0.36 s	0.35 s	0.85 s	0.68 s
A,O4000XBIO,AZ,PC,UA	0.41 s	0.30 s	7.15 s	5.84 s	4.61 s	6.59 s
A,O4000XBIO,AZ,PC,UK	0.09 s	0.16 s	0.07 s	0.24 s	0.19 s	: z
A,O4000XBIO,AZ,PC,XK	4.68 s	2.70 s	2.46 s	1.90 s	1.88 s	3.30 s
A,O4000XBIO,DZ,PC,AL	0.00 s	0.00 s	0.00 s	3.33 s	0.46 s	4.18 s
A,O4000XBIO,DZ,PC,AT	6.05 s	4.54 s	2.77 s	1.46 s	1.54 s	5.42 s
A,O4000XBIO,DZ,PC,BA	0.00 s	0.00 s	0.52 s	0.58 s	0.96 s	1.10 s
A,O4000XBIO,DZ,PC,BE	1.66 s	2.14 s	2.05 s	2.05 s	1.25 s	1.33 s
A,O4000XBIO,DZ,PC,BG	0.05 s	0.08 s	0.11 s	0.10 s	0.06 s	0.49 s
A,O4000XBIO,DZ,PC,CY	0.99 s	1.68 s	1.47 s	1.43 s	1.84 s	2.29 s
A,O4000XBIO,DZ,PC,CZ	0.51 s	0.61 s	1.20 s	0.85 s	0.92 s	0.71 s
A,O4000XBIO,DZ,PC,DE	3.66 s	3.33 s	2.27 s	1.35 s	1.83 s	1.95 s
A,O4000XBIO,DZ,PC,DK	0.23 s	0.16 s	: z	0.14 s	0.20 s	0.44 s
A,O4000XBIO,DZ,PC,EE	0.90 s	0.05 s	0.04 s	0.05 s	0.01 s	0.00 s
A,O4000XBIO,DZ,PC,EL	0.22 s	0.16 s	0.38 s	0.38 s	1.14 s	4.41 s
A,O4000XBIO,DZ,PC,ES	5.51 s	3.91 s	3.20 s	2.77 s	3.30 s	3.57 s
A,O4000XBIO,DZ,PC,FI	0.90 s	0.07 s	0.07 s	0.06 s	0.12 s	0.09 s
A,O4000XBIO,DZ,PC,FR	6.79 s	6.47 s	6.93 s	7.43 s	8.40 s	7.84 s
A,O4000XBIO,DZ,PC,GE	0.06 s	0.11 s	0.04 s	0.03 s	0.13 s	0.23 s
A,O4000XBIO,DZ,PC,HR	0.73 s	0.44 s	0.58 s	0.62 s	0.78 s	0.99 s
A,O4000XBIO,DZ,PC,HU	0.32 s	0.28 s	0.28 s	0.18 s	0.15 s	0.45 s
A,O4000XBIO,DZ,PC,IE	3.68 s	1.85 s	3.68 s	4.03 s	1.61 s	0.25 s
A,O4000XBIO,DZ,PC,IS	0.07 s	0.10 s	0.10 s	0.08 s	0.11 s	0.03 s
A,O4000XBIO,DZ,PC,IT	3.63 s	3.69 s	3.29 s	3.87 s	3.49 s	3.08 s
A,O4000XBIO,DZ,PC,LI	: z	: z	2.54 s	: z	2.91 s	: z
A,O4000XBIO,DZ,PC,LT	1.58 s	0.01 s	0.01 s	0.01 s	0.01 s	0.01 s
A,O4000XBIO,DZ,PC,LU	1.41 s	2.13 s	1.88 s	1.96 s	1.68 s	1.73 s
A,O4000XBIO,DZ,PC,LV	0.75 s	0.01 s	0.01 s	0.01 s	0.01 s	0.01 s
