freq,product,currency,unit,indic_en,geo\TIME_PERIOD	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,6000,EUR,KWH,MSHH,AL	0.1152 	0.1163 	0.1156 	0.1156 	0.0812 	0.0824 	0.0844 	: 	0.0920 e	0.0922 e	0.0925 e	0.0941 
A,6000,EUR,KWH,MSHH,AT	0.1986 	0.1975 	0.2082 	0.2021 	0.2009 	0.2034 	0.195 	0.1966 	0.2034 	0.2111 	0.2216 	0.2249 
A,6000,EUR,KWH,MSHH,BA	0.0745 	0.0798 	0.0803 	0.0791 	0.0812 	0.0831 	0.0859 	0.0864 	0.0873 	0.0870 	0.0875 	0.0887 
A,6000,EUR,KWH,MSHH,BE	0.2136 	0.2327 	0.2173 	0.2097 	0.2126 	0.2544 	0.2857 	0.2824 	0.2839 	0.2792 	0.2702 	0.3437 
A,6000,EUR,KWH,MSHH,BG	0.0826 	0.0846 	0.0924 	0.0832 	0.0942 	0.0956 	0.0955 	0.0979 	0.0997 	0.0997 	0.1024 	0.1093 
A,6000,EUR,KWH,MSHH,CY	0.205 	0.2781 	0.276 	0.2291 	0.1957 	0.1527 	0.1863 	0.1893 	0.2203 	0.2133 	0.1976 	0.2607 
A,6000,EUR,KWH,MSHH,CZ	0.1659 	0.1664 	0.1681 	0.1388 	0.1385 	0.142 	0.1438 	0.1573 	0.1748 	0.1841 	0.1802 	0.2445 
A,6000,EUR,KWH,MSHH,DE	0.2528 	0.2595 	0.2919 	0.2981 	0.2951 	0.2969 	0.3048 	0.2987 	0.3088 	0.3043 	0.3193 	0.3279 
A,6000,EUR,KWH,MSHH,DK	0.2908 	0.2997 	0.3 	0.3042 	0.3068 	0.3088 	0.3049 	0.3126 	0.2984 	0.2833 	0.2900 	0.4559 
A,6000,EUR,KWH,MSHH,EE	0.0973 	0.1096 	0.1351 	0.1307 	0.1302 	0.1208 	0.1207 	0.1348 	0.1357 	0.1236 	0.1324 	0.2056 
A,6000,EUR,KWH,MSHH,EL	0.125 	0.1391 	0.1563 	0.1767 	0.1767 	0.1716 	0.1711 	0.1672 	0.1595 	0.1674 	0.1680 	0.2101 
A,6000,EUR,KWH,MSHH,ES	0.1981 	0.219 	0.2228 	0.2165 	0.2309 	0.2185 	0.2296 	0.2383 	0.2403 	0.2239 	0.2323 	0.3071 
A,6000,EUR,KWH,MSHH,EU27_2020	0.1858 	0.1916 	0.2042 	0.2058 	0.2083 	0.2051 	0.2086 	0.2100 	0.2168 	0.2131 	0.2203 	0.2525 
A,6000,EUR,KWH,MSHH,FI	0.154 	0.1549 	0.1578 	0.1563 	0.1552 	0.1541 	0.1581 	0.1612 	0.1734 	0.1740 	0.1767 	0.1934 
A,6000,EUR,KWH,MSHH,FR	0.1383 	0.1392 	0.1524 	0.1585 	0.1676 	0.1685 	0.1704 	0.1748 	0.1778 	0.1893 	0.1946 	0.2092 
